title,publish_time,source,related_instruments
上周211家公司获机构投资者调研 超百家机构调研弘信电子,2023-07-05 09:17:18,快兰斯24小时财经,"300657.SZ,000928.SZ"
减速器概念股多数大幅低开,2023-07-05 09:27:35,快兰斯24小时财经,"002553.SZ,300503.SZ,000678.SZ,300549.SZ"
智能驾驶板块开盘大涨 浙江世宝4连板,2023-07-05 09:27:54,快兰斯24小时财经,"300473.SZ,002703.SZ,300552.SZ,TSLA.US,VVX.US,002355.SZ,01057.HK,301221.SZ"
游戏板块延续回调,2023-07-05 09:35:43,快兰斯24小时财经,"002174.SZ,300467.SZ,300002.SZ,300148.SZ,300315.SZ"
电力板块持续上行 深南电A涨超6%,2023-07-05 09:42:18,快兰斯24小时财经,"000037.SZ,002256.SZ,000155.SZ,000899.SZ"
PET铜箔板块冲高,2023-07-05 09:43:01,快兰斯24小时财经,"300057.SZ,301217.SZ,688700.SH,002846.SZ,002585.SZ"
食品饮料板块快速跳水 绝味食品逼近跌停,2023-07-05 09:46:48,快兰斯24小时财经,"600186.SH,000716.SZ,002991.SZ,603517.SH"
猪肉概念股震荡下挫,2023-07-05 09:48:43,快兰斯24小时财经,"600975.SH,000860.SZ,300498.SZ,002714.SZ"
晶科能源1亿元于山西新设子公司,2023-07-05 09:50:49,快兰斯24小时财经,JKS.US
创新药板块震荡走低,2023-07-05 09:53:18,快兰斯24小时财经,"002653.SZ,300558.SZ,CSCO.US,600572.SH"
CPO概念股探底后冲高回升,2023-07-05 09:55:55,快兰斯24小时财经,"688418.SH,300913.SZ,301205.SZ,300548.SZ"
信创板块震荡走高,2023-07-05 10:01:45,快兰斯24小时财经,"688316.SH,603189.SH,002401.SZ,300366.SZ,000851.SZ"
数据要素概念股震荡走高 深桑达A涨超5%,2023-07-05 10:06:02,快兰斯24小时财经,"002368.SZ,002777.SZ,002401.SZ,000032.SZ"
存储芯片概念股震荡拉升 德明利涨停,2023-07-05 10:07:30,快兰斯24小时财经,"688525.SH,688385.SH,002049.SZ,001309.SZ,NVDA.US,688416.SH,300302.SZ"
明阳电路：公司与明阳智能均为独立的法人主体 不存在任何关系,2023-07-05 10:11:45,快兰斯24小时财经,300739.SZ
香港航天科技涨超14% ASPACE香港卫星制造中心即将于7月25日正式开幕,2023-07-05 10:53:54,快兰斯24小时财经,01725.HK
港股创新药板块回调,2023-07-05 10:58:01,快兰斯24小时财经,"02005.HK,02196.HK,601607.SH,01801.HK,02607.HK,02269.HK,600196.SH,01177.HK"
供应商透露小米汽车最新进展：首款车型报价完毕,2023-07-05 11:22:43,快兰斯24小时财经,01810.HK
白酒板块午后持续下挫,2023-07-05 13:18:01,快兰斯24小时财经,"600779.SH,600702.SH,000568.SZ,600809.SH"
CPO概念回暖 华工科技涨超9%,2023-07-05 13:21:55,快兰斯24小时财经,"000988.SZ,600183.SH,301205.SZ"
一体化压铸概念股震荡走弱 博俊科技跌超5%,2023-07-05 13:26:30,快兰斯24小时财经,"600933.SH,605133.SH,300926.SZ,603305.SH,300415.SZ,301268.SZ"
香山股份：特斯拉、比亚迪等主机厂均是公司的重要客户,2023-07-05 13:33:45,快兰斯24小时财经,"01211.HK,002594.SZ,TSLA.US"
算力租赁板块震荡下行,2023-07-05 13:46:45,快兰斯24小时财经,"002229.SZ,603019.SH,600839.SH,601138.SH"
